year,group,amount,from https://www.census.gov/data/tables/time-series/demo/voting-and-registration/voting-historical-time-series.html
2016,45 to 64 years portion of the vote,29.86252,
2018,45 to 64 years portion of the vote,29.62533,
2020,45 to 64 years portion of the vote,29.3684,
2002,65 years and over,62.7,
2004,65 years and over,71,
2006,65 years and over,62.5,
2008,65 years and over,70.3,
2010,65 years and over,60.8,
2012,65 years and over,72,
2014,65 years and over,59.4,
2016,65 years and over,70.9,
2018,65 years and over,66.1,
2020,65 years and over,74.5,
2002,65 years and over portion of the vote,27.48949,
2004,65 years and over portion of the vote,28.18363,
2006,65 years and over portion of the vote,28.872,
2008,65 years and over portion of the vote,29.3394,
2010,65 years and over portion of the vote,29.73197,
2012,65 years and over portion of the vote,29.86915,
2014,65 years and over portion of the vote,29.8721,
2016,65 years and over portion of the vote,29.86252,
2018,65 years and over portion of the vote,29.62533,
2020,65 years and over portion of the vote,29.3684,
1990,Asian ,40,
1992,Asian ,53.9,
1994,Asian ,39.4,
1996,Asian ,45,
1998,Asian ,32.4,
2000,Asian ,43.3,
2002,Asian ,31.2,
2004,Asian ,44.2,
2006,Asian ,32.4,
2008,Asian ,47.6,
2010,Asian ,30.8,
2012,Asian ,47.3,
2014,Asian ,27.1,
2016,Asian ,49,
2018,Asian ,40.6,
2020,Asian ,59.7,
1978,Black,39.5,
1980,Black,53.9,
1982,Black,45.5,
1984,Black,60.6,
1986,Black,45.5,
1988,Black,55,
1990,Black,42.4,
1992,Black,59.2,
1994,Black,38.9,
1996,Black,53,
1998,Black,41.8,
2000,Black,56.8,
2002,Black,42.3,
2004,Black,60,
2006,Black,41,
2008,Black,64.7,
2010,Black,43.5,
2012,Black,66.2,
2014,Black,39.7,
2016,Black,59.4,
2018,Black,51.1,
2020,Black,62.6,
1964,Female,67,
1966,Female,53,
1968,Female,66,
1970,Female,52.7,
1972,Female,62,
1974,Female,43.4,
1976,Female,58.8,
1978,Female,45.3,
1980,Female,59.4,
1982,Female,48.4,
1984,Female,60.8,
1986,Female,46.1,
1988,Female,58.3,
1990,Female,45.4,
1992,Female,62.3,
1994,Female,45.3,
1996,Female,55.5,
1998,Female,42.4,
2000,Female,56.2,
2002,Female,43,
2004,Female,60.1,
2006,Female,44.7,
2008,Female,60.4,
2010,Female,42.7,
2012,Female,58.5,
2014,Female,39.6,
2016,Female,58.1,
2018,Female,50.6,
2020,Female,63,
1978,Hispanic,35.7,
1980,Hispanic,46,
1982,Hispanic,38.5,
1984,Hispanic,50,
1986,Hispanic,38,
1988,Hispanic,48,
1990,Hispanic,36,
1992,Hispanic,51.6,
1994,Hispanic,34,
1996,Hispanic,44,
1998,Hispanic,32.8,
2000,Hispanic,45.1,
2002,Hispanic,30.4,
2004,Hispanic,47.2,
2006,Hispanic,32.3,
2008,Hispanic,49.9,
2010,Hispanic,31.2,
2012,Hispanic,48,
2014,Hispanic,27,
2016,Hispanic,47.6,
2018,Hispanic,40.4,
2020,Hispanic,53.7,
1964,Male,71.9,
1966,Male,58.2,
1968,Male,69.8,
1970,Male,56.8,
1972,Male,64.1,
1974,Male,46.2,
1976,Male,59.6,
1978,Male,46.6,
1980,Male,59.1,
1982,Male,48.7,
1984,Male,59,
1986,Male,45.8,
1988,Male,56.4,
1990,Male,44.6,
1992,Male,60.2,
1994,Male,44.7,
1996,Male,52.8,
1998,Male,41.4,
2000,Male,53.1,
2002,Male,41.4,
2004,Male,56.3,
2006,Male,42.4,
2008,Male,55.7,
2010,Male,40.9,
2012,Male,54.4,
2014,Male,37.2,
2016,Male,53.8,
2018,Male,47.2,
2020,Male,59.5,
1978,Registered,66.7,
1980,Registered,72.3,
1982,Registered,68.4,
1984,Registered,73.9,
1986,Registered,69,
1988,Registered,72.1,
1990,Registered,68.2,
1992,Registered,75.2,
1994,Registered,67.1,
1996,Registered,70.9,
1998,Registered,67.1,
2000,Registered,69.5,
2002,Registered,66.5,
2004,Registered,72.1,
2006,Registered,67.6,
2008,Registered,71,
2010,Registered,65.1,
2012,Registered,71.2,
2014,Registered,64.6,
2016,Registered,70.3,
2018,Registered,66.9,
2020,Registered,72.7,
1978,All Citizens,48.9,
1980,All Citizens,64,
1982,All Citizens,51.9,
1984,All Citizens,64.9,
1986,All Citizens,49.4,
1988,All Citizens,62.2,
1990,All Citizens,49.3,
1992,All Citizens,67.7,
1994,All Citizens,48.3,
1996,All Citizens,58.4,
1998,All Citizens,45.3,
2000,All Citizens,59.5,
2002,All Citizens,46.1,
2004,All Citizens,63.8,
2006,All Citizens,47.8,
2008,All Citizens,63.6,
2010,All Citizens,45.5,
2012,All Citizens,61.8,
2014,All Citizens,41.9,
2016,All Citizens,61.4,
2018,All Citizens,53.4,
2020,All Citizens,66.8,
1978,White,50.1,
1980,White,65.4,
1982,White,52.8,
1984,White,65.7,
1986,White,50,
1988,White,63.4,
1990,White,50.5,
1992,White,69.2,
1994,White,50,
1996,White,59.6,
1998,White,46.3,
2000,White,60.5,
2002,White,47.5,
2004,White,65.4,
2006,White,49.7,
2008,White,64.4,
2010,White,46.7,
2012,White,62.2,
2014,White,43.4,
2016,White,62.9,
2018,White,55,
2020,White,68.3,
